precinct_id,srprec,city,hispanic_reg_pct,hispanic_turnout_pct,hispanic_performance,dem_performance,total_turnout
23874,0084091,Simi Valley,43.4,21.2,-22.2,-8.45,184.0
24459,0039002,Moorpark,43.8,21.9,-21.9,-2.47,233.0
23968,0039032,Moorpark,43.0,23.7,-19.3,3.21,169.0
24741,0007041,Camarillo,30.3,12.1,-18.2,-6.42,173.0
23800,0092028,Thousand Oaks,30.0,12.1,-17.9,0.3,174.0
24461,0039004,Moorpark,85.7,67.8,-17.9,8.85,143.0
