precinct_id,srprec,county,city,classification,sanders_2020_pct,biden_2020_pct,bloomberg_2020_pct,dem_voters_2020,prop33_yes_pct,total_voters_2024
69245,0092004,Ventura,Thousand Oaks,Mainstream,38.56,26.09,12.29,529,50.88566827697263,256
69246,0092006,Ventura,Thousand Oaks,Moderate,23.02,34.92,18.25,126,32.16216216216216,208
69247,0092008,Ventura,Thousand Oaks,Mainstream,21.41,38.79,14.55,495,30.758988015978694,396
69248,0092010,Ventura,Thousand Oaks,Progressive,38.43,32.74,8.9,281,36.55913978494624,252
69249,0092012,Ventura,Thousand Oaks,Mainstream,19.22,45.55,15.3,281,23.583460949464012,398
69250,0092014,Ventura,Thousand Oaks,Mainstream,29.28,32.24,12.83,304,21.311475409836063,274
69251,0092016,Ventura,Thousand Oaks,Mainstream,23.35,34.91,17.69,424,31.41831238779174,345
69252,0092018,Ventura,Thousand Oaks,Mainstream,25.5,39.66,13.6,353,37.960339943342774,470
69253,0092020,Ventura,Thousand Oaks,Mainstream,25.8,36.67,11.74,690,30.573248407643312,473
69255,0092028,Ventura,Thousand Oaks,Progressive,31.14,34.65,8.55,456,38.16155988857939,174
69256,0092030,Ventura,Thousand Oaks,Moderate,20.11,39.1,18.42,532,30.69053708439898,278
69257,0092034,Ventura,Thousand Oaks,Mainstream,21.36,37.86,14.08,206,35.41666666666667,248
69259,0092038,Ventura,Thousand Oaks,Mainstream,24.03,35.03,12.18,591,43.29896907216495,448
69260,0092042,Ventura,Thousand Oaks,Mainstream,21.45,39.64,11.27,275,34.47761194029851,427
69261,0092044,Ventura,Thousand Oaks,Mainstream,22.66,35.96,12.32,203,26.42487046632124,362
69262,0092046,Ventura,Thousand Oaks,Mainstream,25.29,31.84,17.13,870,38.19241982507289,229
69263,0092050,Ventura,Thousand Oaks,Mainstream,32.44,32.8,13.26,558,23.076923076923077,509
69264,0092052,Ventura,Thousand Oaks,Mainstream,28.05,34.96,13.82,246,41.41876430205949,233
69265,0092054,Ventura,Thousand Oaks,Mainstream,28.19,36.42,9.67,486,23.71475953565506,411
69266,0092056,Ventura,Thousand Oaks,Mainstream,21.43,43.13,12.91,364,35.604395604395606,277
69267,0092060,Ventura,Thousand Oaks,Progressive,32.45,30.13,11.26,302,31.30434782608696,221
69268,0092062,Ventura,Thousand Oaks,Mainstream,24.29,28.57,12.86,70,33.669609079445145,380
69269,0092064,Ventura,Thousand Oaks,Mainstream,25.84,33.52,13.48,534,30.59360730593607,262
69270,0092066,Ventura,Thousand Oaks,Progressive,45.33,22.84,10.03,289,56.78391959798995,152
69271,0092068,Ventura,Thousand Oaks,Moderate,15.78,38.05,24.59,431,25.94268476621418,424
69272,0092070,Ventura,Thousand Oaks,Mainstream,20.41,40.56,9.69,392,37.71043771043771,362
69273,0092072,Ventura,Thousand Oaks,Mainstream,22.85,37.87,15.18,639,30.37037037037037,373
69274,0092076,Ventura,Thousand Oaks,Mainstream,30.31,29.34,17.91,927,36.05072463768116,288
69275,0092082,Ventura,Thousand Oaks,Moderate,19.18,32.88,19.63,438,32.829046898638424,417
69276,0092086,Ventura,Thousand Oaks,Mainstream,25.67,31.04,16.12,335,46.774193548387096,262
69277,0092090,Ventura,Thousand Oaks,Mainstream,28,31.64,14.36,550,35.70219966159052,300
69278,0092092,Ventura,Thousand Oaks,Mainstream,23.56,37.02,11.78,416,26.776859504132233,336
69279,0092094,Ventura,Thousand Oaks,Mainstream,27.96,37.03,8.31,397,38.70292887029289,271
69280,0092098,Ventura,Thousand Oaks,Mainstream,29.06,36.87,9.42,499,27.984344422700584,319
69281,0092100,Ventura,Thousand Oaks,Mainstream,20.14,40.86,16.57,700,36.55761024182077,430
69282,0092104,Ventura,Thousand Oaks,Mainstream,21.21,27.27,3.03,33,30.01531393568147,435
69284,0092110,Ventura,Thousand Oaks,Mainstream,30.7,34.65,13.94,531,46.86940966010734,354
69285,0092112,Ventura,Thousand Oaks,Moderate,20.32,39.44,18.91,497,31.50357995,309
69286,0092114,Ventura,Thousand Oaks,Moderate,14.47,46.24,22.37,532,28.878648233486942,358
69287,0092120,Ventura,Thousand Oaks,Mainstream,16.78,41.26,9.09,143,47.40608228980322,266
69288,0092122,Ventura,Thousand Oaks,Moderate,18.71,38.85,20.86,139,28.593996840442337,379
69289,0092126,Ventura,Thousand Oaks,Mainstream,27.09,35.62,9.53,598,21.774193548387096,119
69320,0095000,Ventura,Unincorporated,Progressive,41.63,26.61,7.73,233,32.38805970149254,386
69400,0099000,Ventura,Unincorporated,Moderate,13.24,25,17.65,68,28.640776699029125,139
71740,0070006A,Los Angeles,Unincorporated,Mainstream,25.34,36.47,14.55,584,27.899432278994325,701
71747,0080050A,Los Angeles,Agoura Hills,Mainstream,24.83,39.14,12.15,741,33.83084577114428,1595
71968,1000015A,Los Angeles,Calabasas,Progressive,32.19,34.06,8.55,643,35.51088777,812
71969,1000016A,Los Angeles,Calabasas,Moderate,13.36,47.06,18.02,988,26.302864938608455,1177
71971,1000077A,Los Angeles,Calabasas,Moderate,15.03,45.93,22.19,712,0,1113
72442,2780002A,Los Angeles,Hidden Hills,Moderate,13.66,50.73,19.76,410,18.79396984924623,566
72831,4050002A,Los Angeles,Malibu,Moderate,19.34,39.94,19.65,636,26.32530120481928,979
72832,4050051A,Los Angeles,Malibu,Moderate,24.27,36.94,19.17,647,31.34728931830381,1113
73430,7100004B,Los Angeles,Unincorporated,Progressive,38.54,24.04,9.67,807,41.411411411411414,1364
73432,7100030A,Los Angeles,Unincorporated,Progressive,30.91,31.34,11.57,951,0,1233
73582,7770001A,Los Angeles,Westlake Village,Mainstream,23.03,36.93,14.99,547,31.732418524871353,347
73584,7770011A,Los Angeles,Westlake Village,Moderate,13.71,43.06,20.32,620,0,1400
73738,9000267A,Los Angeles,Los Angeles,Moderate,16.08,43.11,19.42,958,0,1803
74052,9001100A,Los Angeles,Los Angeles,Moderate,15.31,44.55,20,725,22.543581616481774,1386
74124,9001352A,Los Angeles,Los Angeles,Moderate,14.29,41.83,24.23,875,21.77161152614728,1627
74130,9001367B,Los Angeles,Los Angeles,Moderate,9.91,46.36,25.36,686,16.96404062585781,2251
74134,9001382A,Los Angeles,Los Angeles,Moderate,13.89,46.61,17.51,914,23.817940786566506,1883
74667,9005833A,Los Angeles,Los Angeles,Mainstream,19.89,37.97,17.85,885,37.995338,1547
74668,9005918A,Los Angeles,Los Angeles,Moderate,12.8,41.1,22.1,1000,29.840255591054316,1005
74772,9007689A,Los Angeles,Los Angeles,Mainstream,21.91,39.44,16.74,890,0,2266
74773,9007693D,Los Angeles,Los Angeles,Moderate,12.79,44.99,22.17,469,24.498810737342847,1725
