precinct_id,srprec,county,city,classification_score,classification,competitive_score,competitive_category,sanders_2020_pct,biden_2020_pct,bloomberg_2020_pct,dem_voters_2020,prop33_yes_pct,total_voters_2024
69206,0084108,Ventura,Simi Valley,38.0,Progressive,84.1,Highly Competitive,31.57,33.33,11.96,510,32.40938166311301,243.0
69280,0092098,Ventura,Thousand Oaks,38.8,Mainstream,58.4,Competitive,29.06,36.87,9.42,499,27.984344422700584,319.0
69207,0084112,Ventura,Simi Valley,39.5,Mainstream,19.1,Not Competitive,26.39,38.89,6.94,72,17.105263157894736,262.0
69204,0084104,Ventura,Simi Valley,40.3,Mainstream,99.2,Highly Competitive,33.05,31.07,13.84,354,39.63414634146341,235.0
69263,0092050,Ventura,Thousand Oaks,41.1,Mainstream,86.4,Highly Competitive,32.44,32.8,13.26,558,23.076923076923077,509.0
69265,0092054,Ventura,Thousand Oaks,41.8,Mainstream,66.7,Competitive,28.19,36.42,9.67,486,23.71475953565506,411.0
68976,0039032,Ventura,Moorpark,42.6,Mainstream,69.0,Highly Competitive,29.52,34.97,11.29,735,52.39234449760766,169.0
69289,0092126,Ventura,Thousand Oaks,43.3,Mainstream,65.2,Competitive,27.09,35.62,9.53,598,21.774193548387096,119.0
68968,0039010,Ventura,Moorpark,44.1,Mainstream,16.1,Not Competitive,26.32,40.35,8.42,285,48.12967581047381,184.0
69178,0084024,Ventura,Simi Valley,44.8,Mainstream,59.2,Competitive,32.57,32.78,15.03,479,29.135338345864664,293.0
69196,0084078,Ventura,Simi Valley,45.6,Mainstream,62.2,Competitive,28.28,39.26,10.5,838,37.960339943342774,197.0
69250,0092014,Ventura,Thousand Oaks,46.3,Mainstream,82.6,Highly Competitive,29.28,32.24,12.83,304,21.311475409836063,274.0
69202,0084100,Ventura,Simi Valley,47.1,Mainstream,78.1,Highly Competitive,30.51,35.03,13.28,354,36.51315789473684,169.0
69284,0092110,Ventura,Thousand Oaks,47.9,Mainstream,74.3,Highly Competitive,30.7,34.65,13.94,531,46.86940966010734,354.0
69200,0084094,Ventura,Simi Valley,48.6,Mainstream,66.0,Competitive,29.34,37.4,13.02,484,26.640926640926644,327.0
69201,0084096,Ventura,Simi Valley,49.4,Mainstream,40.3,Competitive,28.2,39.57,12.09,422,27.232796486090777,414.0
69205,0084106,Ventura,Simi Valley,50.1,Mainstream,72.0,Highly Competitive,25.06,39.56,9.83,407,37.96680497925311,246.0
69225,0085000,Ventura,,50.9,Mainstream,22.9,Not Competitive,30.77,30.77,16.67,78,21.470588235294116,204.0
69277,0092090,Ventura,Thousand Oaks,51.6,Mainstream,83.4,Highly Competitive,28.0,31.64,14.36,550,35.70219966159052,300.0
69264,0092052,Ventura,Thousand Oaks,52.4,Mainstream,71.3,Highly Competitive,28.05,34.96,13.82,246,41.41876430205949,233.0
69253,0092020,Ventura,Thousand Oaks,53.1,Mainstream,75.8,Highly Competitive,25.8,36.67,11.74,690,30.573248407643312,473.0
68862,0007052,Ventura,Camarillo,53.9,Mainstream,61.5,Competitive,25.9,32.88,12.61,444,36.140350877192986,286.0
69268,0092062,Ventura,Thousand Oaks,54.7,Mainstream,68.3,Highly Competitive,24.29,28.57,12.86,70,33.669609079445145,380.0
69194,0084068,Ventura,Simi Valley,55.4,Mainstream,59.9,Competitive,23.24,37.08,10.7,383,27.926657263751764,340.0
69269,0092064,Ventura,Thousand Oaks,56.2,Mainstream,45.6,Competitive,25.84,33.52,13.48,534,30.59360730593607,262.0
68972,0039020,Ventura,Moorpark,56.9,Mainstream,75.1,Highly Competitive,26.05,33.68,13.68,380,29.489051094890513,408.0
69274,0092076,Ventura,Thousand Oaks,57.7,Mainstream,47.9,Competitive,30.31,29.34,17.91,927,36.05072463768116,288.0
69259,0092038,Ventura,Thousand Oaks,58.4,Mainstream,36.5,Competitive,24.03,35.03,12.18,591,43.29896907216495,448.0
68863,0007054,Ventura,Camarillo,59.2,Mainstream,90.2,Highly Competitive,0.0,0.0,0.0,0,38.59060402684564,334.0
68966,0039006,Ventura,Moorpark,59.9,Mainstream,77.3,Highly Competitive,0.0,0.0,0.0,0,32.17821782178218,325.0
68973,0039022,Ventura,Moorpark,60.7,Mainstream,91.7,Highly Competitive,0.0,0.0,0.0,0,30.606860158311346,230.0
68978,0039038,Ventura,Moorpark,61.5,Mainstream,97.7,Highly Competitive,0.0,0.0,0.0,0,33.03703703703704,406.0
68993,0044010,Ventura,,62.2,Mainstream,43.3,Competitive,0.0,0.0,0.0,0,36.94915254237288,304.0
68995,0044016,Ventura,,63.0,Mainstream,80.4,Highly Competitive,0.0,0.0,0.0,0,37.055837563451774,223.0
71747,0080050A,Los Angeles,Agoura Hills,63.7,Mainstream,49.4,Competitive,24.83,39.14,12.15,741,33.83084577114428,1595.0
69278,0092092,Ventura,Thousand Oaks,64.5,Mainstream,46.3,Competitive,23.56,37.02,11.78,416,26.776859504132233,336.0
68975,0039028,Ventura,Moorpark,65.2,Mainstream,78.8,Highly Competitive,23.93,33.91,13.24,861,33.193277310924366,124.0
69252,0092018,Ventura,Thousand Oaks,66.0,Mainstream,53.9,Competitive,25.5,39.66,13.6,353,37.960339943342774,470.0
69198,0084088,Ventura,Simi Valley,66.7,Mainstream,34.3,Competitive,27.23,43.98,14.14,191,25.252525252525253,395.0
69261,0092044,Ventura,Thousand Oaks,67.5,Mainstream,44.8,Competitive,22.66,35.96,12.32,203,26.42487046632124,362.0
69272,0092070,Ventura,Thousand Oaks,68.3,Mainstream,63.7,Competitive,20.41,40.56,9.69,392,37.71043771043771,362.0
