precinct_id,srprec,county,city,classification_score,classification_category,competitive_score,competitive_category,dem_rep_margin,total_voters,prop_33_no_pct,dem_turnout_pct,rep_turnout_pct,classification_7cat
23833,0092001,Ventura,Thousand Oaks,24.0,Progressive,83.0,Highly Competitive,16.84,684.0,46.74,50.17,33.33,Mainstream Dem
23737,0006924,Ventura,Camarillo,24.0,Progressive,78.0,Highly Competitive,22.67,365.0,64.04,50.0,27.33,Mainstream Dem
24490,0039010,Ventura,Moorpark,24.0,Progressive,77.0,Highly Competitive,23.37,437.0,51.87,55.98,32.61,Mainstream Dem
24473,0039016,Ventura,Moorpark,24.0,Progressive,71.0,Highly Competitive,29.63,243.0,57.71,58.33,28.7,Mainstream Dem
20876,9001408A,Los Angeles,Los Angeles,25.0,Progressive,76.0,Highly Competitive,23.84,1944.0,77.69,51.07,27.23,Mainstream Dem
20225,9005833A,Los Angeles,Los Angeles,25.0,Progressive,53.0,Competitive,47.9,3211.0,62.0,64.64,16.74,Mainstream Dem
19041,9001312A,Los Angeles,Los Angeles,25.0,Progressive,56.0,Competitive,44.81,1446.0,,63.55,18.74,Mainstream Dem
20112,2780002A,Los Angeles,Hidden Hills,25.0,Progressive,93.0,Highly Competitive,6.89,1069.0,81.21,42.4,35.51,Moderate Dem-Leaning
24376,0084025,Ventura,Simi Valley,25.0,Progressive,95.0,Highly Competitive,4.88,475.0,62.69,44.39,39.51,Moderate Dem-Leaning
19661,1000009A,Los Angeles,Calabasas,25.0,Progressive,84.0,Highly Competitive,16.0,491.0,71.84,46.0,30.0,Mainstream Dem
19658,9000267A,Los Angeles,Los Angeles,25.0,Progressive,63.0,Competitive,37.71,1803.0,,59.51,21.8,Mainstream Dem
19717,9001382A,Los Angeles,Los Angeles,26.0,Progressive,65.0,Competitive,34.89,2344.0,76.18,58.58,23.69,Mainstream Dem
24579,0092126,Ventura,Thousand Oaks,26.0,Progressive,81.0,Highly Competitive,19.33,259.0,78.23,31.09,50.42,Mainstream Rep
23472,0007050,Ventura,Camarillo,26.0,Progressive,83.0,Highly Competitive,17.02,347.0,45.09,48.94,31.91,Mainstream Dem
24288,0044010,Ventura,Unincorporated,26.0,Progressive,75.0,Highly Competitive,25.33,630.0,63.05,51.64,26.32,Mainstream Dem
24752,0007032,Ventura,Camarillo,26.0,Progressive,97.0,Highly Competitive,3.49,801.0,64.78,43.7,40.21,Moderate Dem-Leaning
19761,9007689A,Los Angeles,Los Angeles,26.0,Progressive,59.0,Competitive,41.17,2266.0,,61.3,20.12,Mainstream Dem
19377,4060001A,Los Angeles,Unincorporated,26.0,Progressive,69.0,Highly Competitive,31.24,794.0,69.78,55.06,23.82,Mainstream Dem
20540,0070005B,Los Angeles,Unincorporated,26.0,Progressive,91.0,Highly Competitive,8.82,13.0,63.64,41.18,32.35,Moderate Dem-Leaning
23864,0084099,Ventura,Simi Valley,27.0,Progressive,79.0,Highly Competitive,20.85,690.0,64.35,32.33,53.17,Mainstream Rep
20596,0070006A,Los Angeles,Unincorporated,27.0,Progressive,63.0,Competitive,37.8,1330.0,72.1,61.06,23.25,Mainstream Dem
