precinct_id,srprec,county,county_numeric,city,classification_score,classification_category,total_voters,dem_margin_pct,prop_33_no_pct,dem_reg_pct,rep_reg_pct,dem_turnout_pct,rep_turnout_pct,progressive_vote_share,rep_dem_registration_ratio,biden_pct,williamson_pct,phillips_pct
23872,0092059,Ventura,1,Thousand Oaks,48.79,Mainstream,463.0,-1.08,,39.76,35.21,41.9,42.98,2.0,0.883,97.5,1.0,1.0
24313,0006904,Ventura,1,Camarillo,48.8,Mainstream,452.0,-1.33,,36.6,36.08,40.04,41.37,3.82,0.983,95.08,1.09,2.73
23925,0092035,Ventura,1,Thousand Oaks,48.86,Mainstream,333.0,-1.8,,36.07,39.18,41.14,42.94,5.6,1.082,93.6,3.2,2.4
23646,0084075,Ventura,1,Simi Valley,48.99,Mainstream,340.0,-17.65,,33.49,44.14,34.41,52.06,9.73,1.312,89.38,2.65,7.08
24504,0095008,Ventura,1,Unincorporated,49.25,Mainstream,242.0,-4.13,,36.87,33.44,38.43,42.56,2.08,0.903,94.79,2.08,0.0
24341,0084034,Ventura,1,Simi Valley,49.38,Mainstream,305.0,-11.8,,34.08,40.66,37.05,48.85,7.21,1.188,91.89,6.31,0.9
24017,0092089,Ventura,1,Thousand Oaks,49.55,Mainstream,507.0,-3.75,,35.47,36.06,38.66,42.41,3.92,1.014,95.59,0.98,2.94
23648,0084074,Ventura,1,Simi Valley,49.59,Mainstream,329.0,-8.81,,38.4,41.06,37.99,46.81,4.84,1.065,93.55,2.42,2.42
23454,0084111,Ventura,1,Simi Valley,49.68,Mainstream,220.0,-25.0,,32.82,37.81,28.64,53.64,6.25,1.145,92.19,6.25,0.0
23995,0092098,Ventura,1,Thousand Oaks,49.69,Mainstream,319.0,3.13,,38.2,33.85,42.95,39.81,1.43,0.883,98.57,1.43,0.0
23650,0084076,Ventura,1,Simi Valley,49.74,Mainstream,302.0,-6.62,,32.87,40.47,36.42,43.05,7.69,1.226,89.74,4.27,3.42
23696,0084083,Ventura,1,Simi Valley,49.93,Mainstream,329.0,-25.53,,29.8,40.66,27.66,53.19,10.0,1.358,89.0,6.0,4.0
24266,0084008,Ventura,1,Simi Valley,49.99,Mainstream,277.0,-15.16,,34.41,37.34,32.13,47.29,4.88,1.081,91.46,3.66,1.22
24489,0039011,Ventura,1,Moorpark,50.0,Mainstream,605.0,-7.6,,34.53,38.79,37.85,45.45,5.6,1.121,93.46,2.8,2.8
24025,0092083,Ventura,1,Thousand Oaks,50.02,Mainstream,225.0,-13.78,,36.26,37.79,33.33,47.11,4.05,1.037,94.59,1.35,2.7
23932,0092039,Ventura,1,Thousand Oaks,50.02,Mainstream,529.0,-0.95,,37.07,38.37,40.64,41.59,3.96,1.032,95.59,0.88,3.08
23770,0092018,Ventura,1,Thousand Oaks,50.14,Mainstream,470.0,2.34,,40.09,36.25,44.04,41.7,1.5,0.901,97.01,1.0,0.5
24400,0084024,Ventura,1,Simi Valley,50.19,Mainstream,293.0,-23.21,,31.1,41.98,31.4,54.61,9.57,1.344,89.36,8.51,1.06
24016,0092075,Ventura,1,Thousand Oaks,50.22,Mainstream,305.0,-7.21,,36.59,35.21,37.05,44.26,2.5,0.959,95.83,1.67,0.83
23994,0092095,Ventura,1,Thousand Oaks,50.29,Mainstream,360.0,-16.39,,32.21,39.8,32.78,49.17,7.44,1.231,90.08,4.13,3.31
23975,0092048,Ventura,1,Thousand Oaks,50.51,Mainstream,496.0,-2.82,,34.51,36.75,38.31,41.13,4.21,1.062,95.26,0.53,3.68
23785,0084066,Ventura,1,Simi Valley,50.54,Mainstream,411.0,-10.71,,33.15,39.82,36.5,47.2,6.67,1.197,91.33,4.67,2.0
23529,0084100,Ventura,1,Simi Valley,50.57,Mainstream,169.0,-23.67,,34.81,36.71,30.77,54.44,3.92,1.048,88.24,3.92,0.0
23804,0092020,Ventura,1,Thousand Oaks,50.62,Mainstream,473.0,-12.05,,32.31,38.34,34.67,46.72,6.36,1.183,91.91,3.47,2.89
23946,0039038,Ventura,1,Moorpark,50.71,Mainstream,406.0,-6.16,,36.14,34.53,35.71,41.87,2.08,0.952,97.22,1.39,0.69
23636,0092106,Ventura,1,Thousand Oaks,50.95,Mainstream,353.0,-0.85,,36.8,35.33,39.94,40.79,2.01,0.957,94.63,0.0,2.01
23484,0007046,Ventura,1,Camarillo,50.98,Mainstream,245.0,-3.27,,34.41,35.36,37.14,40.41,3.19,1.022,94.68,2.13,1.06
23749,0084050,Ventura,1,Simi Valley,51.1,Mainstream,329.0,-8.51,,33.38,39.92,37.99,46.5,6.21,1.191,92.25,5.43,0.78
23801,0084060,Ventura,1,Simi Valley,51.17,Mainstream,357.0,-10.36,,36.52,42.12,36.13,46.5,5.39,1.149,93.08,2.31,3.08
23720,0084081,Ventura,1,Simi Valley,51.18,Mainstream,335.0,-11.94,,34.69,38.02,34.33,46.27,4.35,1.092,91.3,3.48,0.87
24312,0006905,Ventura,1,Camarillo,51.23,Mainstream,395.0,-15.7,,32.95,41.99,33.42,49.11,7.57,1.27,90.91,5.3,2.27
23989,0092092,Ventura,1,Thousand Oaks,51.32,Mainstream,336.0,-4.76,,35.09,33.11,37.2,41.96,1.48,0.94,95.56,1.48,0.0
24280,0084001,Ventura,1,Simi Valley,51.45,Mainstream,336.0,-2.38,,34.92,34.84,38.69,41.07,2.4,0.995,96.0,1.6,0.8
23470,0007078,Ventura,1,Camarillo,51.77,Mainstream,435.0,-22.3,,32.65,44.22,31.26,53.56,8.7,1.35,89.86,4.35,4.35
23889,0092054,Ventura,1,Thousand Oaks,51.8,Mainstream,411.0,-2.92,,37.7,40.45,40.15,43.07,3.55,1.069,95.86,0.59,2.96
23760,0092012,Ventura,1,Thousand Oaks,51.92,Mainstream,398.0,-4.77,,34.47,37.39,39.45,44.22,3.68,1.081,93.25,1.23,2.45
23751,0084053,Ventura,1,Simi Valley,52.15,Mainstream,286.0,-12.94,,35.09,37.09,36.71,49.65,3.03,1.053,95.96,1.01,2.02
24450,0090004,Ventura,1,Unincorporated,52.21,Mainstream,109.0,-11.01,,32.68,40.94,37.61,48.62,6.39,1.238,91.49,2.13,4.26
23755,0084055,Ventura,1,Simi Valley,52.21,Mainstream,362.0,-11.05,,38.09,38.74,37.85,48.9,2.28,1.014,94.7,1.52,0.76
23857,0084094,Ventura,1,Simi Valley,52.27,Mainstream,327.0,-14.98,,33.44,38.06,31.8,46.79,4.42,1.133,92.04,1.77,2.65
23898,0092069,Ventura,1,Thousand Oaks,52.54,Mainstream,428.0,-7.24,,35.26,39.25,37.15,44.39,3.82,1.109,94.9,1.91,1.91
23747,0084051,Ventura,1,Simi Valley,52.56,Mainstream,354.0,-17.23,,34.3,39.71,34.75,51.98,4.63,1.154,87.96,3.7,0.93
24343,0084047,Ventura,1,Simi Valley,52.61,Mainstream,337.0,-8.01,,35.37,38.03,39.47,47.48,3.08,1.071,94.62,3.08,0.0
23916,0039020,Ventura,1,Moorpark,52.96,Mainstream,408.0,-8.09,,38.13,40.41,38.97,47.06,2.6,1.056,96.1,1.3,1.3
24030,0092086,Ventura,1,Thousand Oaks,53.02,Mainstream,262.0,-2.29,,36.7,41.32,41.22,43.51,3.71,1.119,96.3,2.78,0.93
24458,0039000,Ventura,1,Moorpark,53.18,Mainstream,293.0,-35.84,,31.32,41.47,23.55,59.39,7.25,1.318,91.3,4.35,2.9
23795,0092024,Ventura,1,Thousand Oaks,53.33,Mainstream,316.0,-2.22,,33.75,37.46,39.24,41.46,3.26,1.105,96.75,1.63,1.63
23680,0006912,Ventura,1,Camarillo,53.42,Mainstream,457.0,-4.6,,40.33,41.14,41.14,45.73,1.59,1.017,96.81,0.53,1.06
24357,0084019,Ventura,1,Simi Valley,53.51,Mainstream,168.0,-15.48,,32.53,37.35,32.74,48.21,3.78,1.14,86.79,1.89,1.89
23838,0092005,Ventura,1,Thousand Oaks,53.54,Mainstream,301.0,-18.6,,32.76,36.9,29.24,47.84,3.41,1.12,94.32,2.27,1.14
24547,0092114,Ventura,1,Thousand Oaks,53.57,Mainstream,358.0,-13.97,,32.52,38.07,33.52,47.49,4.24,1.167,94.92,4.24,0.0
24476,0039018,Ventura,1,Moorpark,53.69,Mainstream,347.0,-9.8,,33.72,36.13,34.87,44.67,2.36,1.068,96.85,0.79,1.57
23854,0084095,Ventura,1,Simi Valley,53.72,Mainstream,263.0,-16.35,,33.72,40.8,31.94,48.29,4.82,1.203,91.57,2.41,2.41
24350,0084046,Ventura,1,Simi Valley,53.98,Mainstream,406.0,-17.0,,31.49,40.62,31.28,48.28,6.16,1.285,92.31,3.08,3.08
23882,0092050,Ventura,1,Thousand Oaks,54.07,Mainstream,509.0,-8.25,,33.26,40.82,36.35,44.6,4.97,1.223,92.27,2.21,2.76
23762,0084056,Ventura,1,Simi Valley,54.46,Mainstream,379.0,-18.47,,32.9,40.88,32.98,51.45,5.0,1.238,93.33,1.67,3.33
23757,0084054,Ventura,1,Simi Valley,54.62,Mainstream,388.0,-25.52,,34.68,40.68,29.64,55.15,3.64,1.169,94.55,0.91,2.73
24742,0007040,Ventura,1,Camarillo,54.7,Mainstream,443.0,-14.0,,35.65,44.32,36.57,50.56,4.85,1.238,93.94,4.24,0.61
23507,0084102,Ventura,1,Simi Valley,54.76,Mainstream,252.0,-13.89,,34.89,38.91,34.92,48.81,2.47,1.11,96.3,2.47,0.0
23793,0092022,Ventura,1,Thousand Oaks,54.95,Mainstream,421.0,-18.53,,33.66,42.26,33.97,52.49,4.93,1.251,90.85,2.11,2.82
23513,0084107,Ventura,1,Simi Valley,55.06,Mainstream,354.0,-16.1,,35.1,42.75,35.03,51.13,4.17,1.213,93.33,1.67,2.5
23970,0039035,Ventura,1,Moorpark,55.13,Mainstream,325.0,-15.69,,33.77,40.38,32.92,48.62,3.71,1.19,96.3,2.78,0.93
24493,0039015,Ventura,1,Moorpark,55.32,Mainstream,270.0,-13.7,,35.95,38.15,35.56,49.26,1.14,1.057,95.45,0.0,1.14
24531,0092118,Ventura,1,Thousand Oaks,55.4,Mainstream,231.0,-12.55,,34.58,41.3,36.36,48.92,3.49,1.188,93.02,1.16,2.33
23766,0092013,Ventura,1,Thousand Oaks,55.55,Mainstream,268.0,-3.36,,33.12,40.39,40.3,43.66,3.88,1.214,96.12,2.91,0.97
23863,0084096,Ventura,1,Simi Valley,55.83,Mainstream,414.0,-20.29,,32.06,42.38,31.64,51.93,5.6,1.317,91.2,2.4,3.2
23598,0006930,Ventura,1,Camarillo,56.28,Mainstream,316.0,-12.03,,33.69,44.09,35.44,47.47,5.04,1.302,94.12,3.36,1.68
24506,0095007,Ventura,1,Unincorporated,56.34,Mainstream,272.0,-16.18,,32.4,41.12,33.82,50.0,4.3,1.263,93.55,4.3,0.0
24356,0084016,Ventura,1,Simi Valley,56.78,Mainstream,290.0,-18.62,,33.38,40.61,32.76,51.38,3.09,1.212,93.81,2.06,1.03
24492,0039012,Ventura,1,Moorpark,56.85,Mainstream,412.0,-19.42,,31.33,43.86,32.04,51.46,6.39,1.395,89.36,2.13,4.26
24029,0092087,Ventura,1,Thousand Oaks,56.89,Mainstream,262.0,-16.41,,30.23,42.22,30.92,47.33,6.25,1.388,93.75,6.25,0.0
24521,0095001,Ventura,1,Unincorporated,57.36,Mainstream,252.0,-9.13,,31.49,39.31,37.3,46.43,3.26,1.241,96.74,3.26,0.0
23965,0039033,Ventura,1,Moorpark,57.98,Mainstream,272.0,-10.66,,35.31,38.45,34.93,45.59,0.0,1.084,98.94,0.0,0.0
23698,0084086,Ventura,1,Simi Valley,58.53,Mainstream,316.0,-26.58,,30.47,40.94,28.48,55.06,4.31,1.338,94.62,1.08,3.23
24517,0074001,Ventura,1,Unincorporated,58.74,Mainstream,390.0,-25.64,,29.91,44.27,28.72,54.36,6.67,1.474,93.33,1.67,5.0
24390,0084020,Ventura,1,Simi Valley,58.82,Mainstream,256.0,-16.41,,31.31,40.88,33.2,49.61,3.41,1.298,94.32,1.14,2.27
24336,0084033,Ventura,1,Simi Valley,59.03,Mainstream,289.0,-27.68,,31.63,44.01,29.41,57.09,4.88,1.386,92.68,1.22,3.66
24383,0084029,Ventura,1,Simi Valley,59.31,Mainstream,323.0,-21.67,,32.83,39.02,29.41,51.08,1.02,1.184,94.9,1.02,0.0
23926,0039023,Ventura,1,Moorpark,59.34,Mainstream,275.0,-21.45,,30.1,41.94,30.91,52.36,4.71,1.387,92.94,1.18,3.53
23452,0084112,Ventura,1,Simi Valley,59.41,Mainstream,262.0,-16.79,,32.24,43.47,32.44,49.24,3.8,1.34,96.2,1.27,2.53
23731,0084058,Ventura,1,Simi Valley,59.63,Mainstream,391.0,-21.74,,29.98,43.25,30.18,51.92,5.46,1.438,90.91,2.73,2.73
23630,0092102,Ventura,1,Thousand Oaks,60.5,Mainstream,285.0,-31.23,,27.74,42.71,24.91,56.14,6.66,1.532,93.33,1.33,5.33
23899,0092068,Ventura,1,Thousand Oaks,60.55,Mainstream,424.0,-12.97,,33.29,43.87,35.38,48.35,2.61,1.313,96.73,0.65,1.96
24359,0084011,Ventura,1,Simi Valley,60.77,Mainstream,421.0,-30.17,,31.15,39.96,24.94,55.11,1.84,1.278,95.41,0.92,0.92
23753,0084052,Ventura,1,Simi Valley,60.99,Mainstream,263.0,-19.77,,29.34,40.71,32.7,52.47,3.57,1.38,92.86,2.38,1.19
24330,0084038,Ventura,1,Simi Valley,61.01,Mainstream,288.0,-27.43,,30.39,44.57,27.78,55.21,5.0,1.459,92.5,2.5,2.5
24349,0084043,Ventura,1,Simi Valley,61.1,Mainstream,296.0,-17.23,,30.76,43.78,34.12,51.35,4.17,1.417,93.75,3.13,1.04
24358,0084018,Ventura,1,Simi Valley,61.66,Mainstream,302.0,-24.17,,32.15,43.04,31.13,55.3,2.3,1.333,95.4,1.15,1.15
23518,0084109,Ventura,1,Simi Valley,62.88,Mainstream,304.0,-21.38,,28.53,44.34,30.59,51.97,5.44,1.546,92.39,1.09,4.35
24340,0084035,Ventura,1,Simi Valley,62.94,Mainstream,236.0,-27.12,,28.83,45.4,27.97,55.08,5.72,1.563,92.86,1.43,4.29
23642,0084073,Ventura,1,Simi Valley,63.36,Mainstream,363.0,-21.21,,27.89,43.09,28.93,50.14,5.0,1.538,93.0,2.0,3.0
24523,0074002,Ventura,1,Unincorporated,64.3,Mainstream,371.0,-16.44,,33.85,46.85,36.93,53.37,1.5,1.379,97.74,0.75,0.75
24327,0084039,Ventura,1,Simi Valley,64.36,Mainstream,221.0,-19.46,,30.47,42.52,32.13,51.58,1.61,1.387,91.94,0.0,1.61
23485,0085000,Ventura,1,Unincorporated,64.73,Mainstream,204.0,-29.41,,24.63,50.74,26.96,56.37,13.34,2.04,85.0,6.67,6.67
23604,0006934,Ventura,1,Camarillo,65.0,Mainstream,166.0,-18.07,,30.03,46.33,32.53,50.6,3.77,1.526,92.45,0.0,3.77
23694,0084084,Ventura,1,Simi Valley,65.04,Mainstream,351.0,-36.47,,26.54,46.48,24.22,60.68,7.69,1.742,89.74,1.28,6.41
24632,0081000,Ventura,1,Unincorporated,65.96,Mainstream,363.0,-22.59,,26.5,45.85,31.13,53.72,6.78,1.723,91.53,3.39,3.39
24498,0074005,Ventura,1,Unincorporated,67.06,Moderate,311.0,-25.72,,30.65,46.28,28.94,54.66,2.06,1.502,93.81,1.03,1.03
23649,0084077,Ventura,1,Simi Valley,67.63,Moderate,251.0,-21.91,,29.71,44.2,32.67,54.58,1.28,1.479,97.44,1.28,0.0
23705,0084087,Ventura,1,Simi Valley,69.66,Moderate,118.0,-28.81,,29.96,49.37,28.81,57.63,2.7,1.625,94.59,0.0,2.7
24631,0081001,Ventura,1,Unincorporated,71.06,Moderate,248.0,-20.97,,27.92,44.91,31.05,52.02,1.33,1.597,98.67,1.33,0.0
24344,0084049,Ventura,1,Simi Valley,73.21,Moderate,410.0,-32.68,,25.96,51.77,24.88,57.56,7.07,1.983,89.9,4.04,3.03
23878,0084093,Ventura,1,Simi Valley,75.2,Moderate,478.0,-28.87,,27.58,51.56,29.29,58.16,3.62,1.862,94.93,2.9,0.72
24401,0084023,Ventura,1,Simi Valley,83.39,Moderate,244.0,-42.21,,24.78,51.09,22.54,64.75,1.89,2.043,98.11,0.0,1.89
24342,0084048,Ventura,1,Simi Valley,87.95,Moderate,370.0,-32.7,,24.3,52.58,26.76,59.46,1.04,2.151,94.79,0.0,1.04
24520,0074000,Ventura,1,Unincorporated,95.63,Moderate,192.0,-44.79,,20.52,51.89,19.27,64.06,2.7,2.5,97.3,2.7,0.0
